Participant Number:,20
Test started on:,04/07/2016 04:17:12 PM
Current Task:,VR Task 2
Task Start:,03:17:51 PM
Heading, Roll, Pitch, Task Time
170.3125,18.8125,-31.75,0.01
170.3125,18.8125,-31.75,0.01
170.3125,18.875,-31.75,0.04
170.3125,18.875,-31.75,0.08
170.3125,18.875,-31.8125,0.09
170.3125,18.875,-31.875,0.12
170.3125,18.875,-31.875,0.13
170.3125,18.8125,-31.8125,0.16
170.3125,18.75,-31.75,0.17
170.25,18.6875,-31.75,0.20
170.25,18.6875,-31.75,0.21
170.1875,18.625,-31.8125,0.24
170.1875,18.625,-31.8125,0.25
169.875,18.625,-31.9375,0.28
169.875,18.625,-31.9375,0.29
169.75,18.6875,-32.0625,0.32
169.75,18.6875,-32.0625,0.33
169.625,18.6875,-32.0625,0.36
169.5,18.6875,-32.125,0.37
169.5,18.6875,-32.125,0.40
169.4375,18.8125,-32.1875,0.41
169.4375,18.875,-32.125,0.44
169.4375,18.9375,-32.125,0.45
169.5,18.9375,-32.1875,0.48
169.5,18.9375,-32.1875,0.49
169.5625,19.0625,-32.25,0.52
169.5625,19.0625,-32.25,0.53
169.625,19.1875,-32.3125,0.56
169.6875,19.1875,-32.4375,0.57
169.75,19.1875,-32.5,0.60
169.75,19.1875,-32.5,0.61
169.75,19.125,-32.5,0.64
169.75,19.125,-32.5,0.65
169.6875,19.125,-32.375,0.68
169.6875,19.125,-32.375,0.69
169.0625,17.75,-31.3125,0.72
169.0625,17.75,-31.3125,0.73
168.5625,16.5,-30.5,0.76
168.5625,16.5,-30.5,0.77
168.3125,16.3125,-30.25,0.80
168.0,15.625,-29.8125,0.81
168.0,15.625,-29.8125,0.84
167.75,15.0625,-29.125,0.85
167.125,14.1875,-28.3125,0.88
166.5,13.3125,-27.5,0.89
166.5,13.3125,-27.5,0.92
166.0625,12.75,-26.75,0.93
165.75,12.5,-26.25,0.96
165.75,12.5,-26.25,0.97
165.75,12.5,-26.25,0.99
165.1875,12.25,-25.5,1.01
165.1875,12.25,-25.5,1.03
165.0,12.1875,-25.1875,1.05
164.8125,12.125,-24.875,1.08
164.8125,12.125,-24.875,1.09
164.8125,12.0625,-24.625,1.12
164.8125,12.0625,-24.625,1.13
164.8125,12.0625,-24.1875,1.16
164.8125,12.0625,-24.1875,1.17
164.875,12.0625,-24.0,1.20
164.875,12.125,-23.9375,1.21
164.875,12.125,-23.9375,1.24
164.875,12.125,-23.875,1.25
164.75,12.3125,-24.0625,1.28
164.5625,12.625,-24.375,1.29
164.4375,12.875,-24.75,1.32
164.4375,12.875,-24.75,1.33
164.25,13.1875,-25.125,1.36
164.25,13.1875,-25.125,1.37
164.0625,13.5,-25.5625,1.40
164.0625,13.5,-25.5625,1.41
164.0625,13.5,-25.5625,1.41
163.5625,14.375,-26.375,1.45
163.375,14.9375,-26.8125,1.48
163.375,14.9375,-26.8125,1.49
163.125,15.625,-27.3125,1.52
163.125,15.625,-27.3125,1.53
163.0,16.1875,-28.0,1.56
163.0,16.1875,-28.0,1.57
162.75,17.4375,-29.4375,1.60
162.75,17.4375,-29.4375,1.61
162.625,18.1875,-30.125,1.64
162.625,18.1875,-30.125,1.65
162.5,19.0,-30.875,1.68
162.4375,19.9375,-31.5625,1.69
162.4375,19.9375,-31.5625,1.72
162.375,20.875,-32.0,1.73
162.375,21.8125,-32.3125,1.76
162.4375,22.8125,-32.625,1.77
162.3125,23.75,-32.9375,1.80
162.3125,23.75,-32.9375,1.81
162.1875,24.5625,-33.1875,1.84
162.1875,24.5625,-33.1875,1.85
162.0625,26.1875,-33.8125,1.88
162.0625,26.1875,-33.8125,1.89
161.9375,26.9375,-34.25,1.92
161.75,27.75,-34.6875,1.93
161.75,27.75,-34.6875,1.96
161.5625,28.5,-35.0,1.97
161.5625,28.5,-35.0,1.99
161.375,29.1875,-35.1875,2.01
161.3125,29.5625,-35.0625,2.04
161.3125,29.5625,-35.0625,2.05
161.4375,29.5625,-34.5,2.08
161.4375,29.5625,-34.5,2.09
161.375,29.8125,-33.875,2.12
161.3125,30.0625,-33.0625,2.13
161.3125,30.0625,-33.0625,2.16
161.25,30.3125,-32.3125,2.17
161.125,30.6875,-31.6875,2.20
160.9375,30.9375,-31.125,2.21
160.9375,30.9375,-31.125,2.24
160.875,31.125,-30.5,2.25
160.75,31.3125,-29.875,2.28
160.75,31.3125,-29.875,2.29
160.5625,31.5,-29.375,2.32
160.375,31.625,-29.0,2.33
160.1875,31.75,-28.625,2.36
160.1875,31.75,-28.625,2.37
160.0,31.875,-28.25,2.40
160.0,31.875,-28.25,2.41
159.875,31.875,-27.9375,2.44
159.875,31.875,-27.9375,2.45
159.5625,32.1875,-27.25,2.48
159.5625,32.1875,-27.25,2.49
159.4375,32.125,-26.625,2.52
159.3125,32.125,-26.0,2.53
159.1875,32.125,-25.4375,2.56
159.1875,32.125,-25.4375,2.57
158.9375,32.125,-25.0625,2.60
158.625,32.0625,-24.75,2.61
158.25,32.0625,-24.375,2.64
158.25,32.0625,-24.375,2.65
157.875,32.125,-24.0625,2.68
157.875,32.125,-24.0625,2.69
157.5625,31.9375,-23.5625,2.72
157.1875,31.75,-23.125,2.73
156.8125,31.4375,-22.5625,2.76
156.625,31.0625,-22.0625,2.77
156.625,31.0625,-22.0625,2.80
156.5,30.625,-21.5,2.81
156.5,29.625,-20.75,2.84
156.5,29.625,-20.75,2.85
156.6875,28.3125,-20.125,2.88
156.875,27.5,-19.6875,2.89
157.0625,26.9375,-19.375,2.92
157.0625,26.9375,-19.375,2.93
157.125,26.75,-19.25,2.96
157.125,26.75,-19.25,2.97
157.25,26.6875,-19.25,3.00
157.25,26.6875,-19.25,3.01
157.4375,26.6875,-19.3125,3.04
157.4375,26.6875,-19.3125,3.05
157.5,26.5625,-19.3125,3.08
157.5,26.5625,-19.3125,3.09
157.625,26.375,-19.375,3.12
157.6875,26.3125,-19.5625,3.13
157.6875,26.3125,-19.6875,3.16
157.6875,26.3125,-19.6875,3.17
157.6875,26.4375,-19.875,3.20
157.6875,26.5625,-20.0625,3.21
157.6875,26.5625,-20.0625,3.24
157.625,26.6875,-20.25,3.25
157.625,26.75,-20.4375,3.28
157.625,26.75,-20.4375,3.29
157.5625,26.75,-20.625,3.32
157.5625,26.75,-20.75,3.33
157.5625,26.75,-20.9375,3.36
157.5625,26.75,-20.9375,3.37
157.5,26.625,-21.0625,3.40
157.5,26.625,-21.0625,3.41
157.4375,26.4375,-21.1875,3.44
157.4375,26.4375,-21.1875,3.45
157.5,25.875,-21.5,3.48
157.5,25.875,-21.5,3.49
157.5625,25.4375,-21.5,3.52
157.5625,25.4375,-21.5,3.53
157.625,25.0,-21.375,3.56
157.625,24.625,-21.375,3.57
157.625,24.625,-21.375,3.60
157.625,24.375,-21.625,3.61
157.6875,23.9375,-21.8125,3.64
157.6875,23.375,-21.9375,3.65
157.625,22.75,-22.125,3.68
157.625,22.75,-22.125,3.69
157.6875,22.25,-22.3125,3.72
157.6875,22.25,-22.3125,3.73
157.6875,21.6875,-22.5,3.76
157.625,21.0625,-22.6875,3.77
157.625,20.5,-23.0,3.80
157.625,20.5,-23.0,3.81
157.6875,20.125,-23.3125,3.84
157.6875,20.125,-23.3125,3.85
157.75,19.8125,-23.75,3.88
157.875,19.5,-24.1875,3.89
158.0,19.125,-24.6875,3.92
158.0,19.125,-24.6875,3.93
158.25,18.8125,-25.1875,3.96
161.0625,7.625,-73.4375,3.97
161.125,7.625,-73.375,4.00
161.0625,7.625,-73.25,4.01
161.0625,7.625,-73.25,4.04
161.0625,7.625,-73.1875,4.05
161.0,7.6875,-73.0625,4.08
161.0,7.6875,-73.0625,4.09
161.0,7.6875,-73.0,4.12
160.9375,7.6875,-72.9375,4.13
160.875,7.75,-72.875,4.16
160.875,7.75,-72.875,4.17
160.8125,7.75,-72.8125,4.20
160.75,7.8125,-72.75,4.21
160.625,7.8125,-72.6875,4.24
160.5625,7.875,-72.6875,4.25
160.5,7.875,-72.625,4.28
160.5,7.875,-72.625,4.29
160.375,7.9375,-72.625,4.32
160.3125,7.9375,-72.625,4.33
160.1875,8.0,-72.625,4.36
160.125,8.0,-72.625,4.37
160.0625,8.0625,-72.6875,4.40
160.0625,8.0625,-72.6875,4.41
160.0,8.125,-72.6875,4.44
159.9375,8.125,-72.75,4.45
159.8125,8.1875,-72.8125,4.48
159.75,8.25,-72.8125,4.49
159.75,8.25,-72.875,4.52
159.75,8.25,-72.875,4.53
159.6875,8.3125,-72.9375,4.56
159.625,8.375,-72.9375,4.57
159.625,8.375,-72.9375,4.60
159.5625,8.4375,-73.0,4.61
159.5,8.4375,-73.0,4.64
159.5,8.4375,-73.0,4.65
159.5,8.5,-73.0,4.68
159.4375,8.5625,-73.0,4.69
159.4375,8.5625,-73.0625,4.72
159.4375,8.625,-73.0625,4.73
159.4375,8.625,-73.0625,4.76
159.4375,8.625,-73.0625,4.77
159.4375,8.625,-73.0625,4.80
159.4375,8.625,-73.0,4.81
159.1875,8.6875,-73.0,4.84
159.1875,8.6875,-72.9375,4.85
159.1875,8.6875,-72.875,4.88
159.1875,8.6875,-72.875,4.89
159.1875,8.6875,-72.8125,4.92
159.1875,8.6875,-72.8125,4.93
159.1875,8.6875,-72.75,4.96
159.1875,8.6875,-72.75,4.97
159.25,8.6875,-72.6875,5.00
159.25,8.6875,-72.6875,5.01
159.25,8.6875,-72.6875,5.04
159.25,8.6875,-72.6875,5.05
158.875,8.6875,-72.625,5.08
158.875,8.6875,-72.625,5.09
158.875,8.75,-72.625,5.12
158.875,8.75,-72.625,5.13
158.8125,8.8125,-72.5625,5.16
158.8125,8.8125,-72.5625,5.17
158.75,8.875,-72.5625,5.20
158.6875,8.9375,-72.5,5.21
158.625,9.0,-72.4375,5.24
158.625,9.0,-72.4375,5.25
158.5625,9.0625,-72.4375,5.28
158.4375,9.0625,-72.375,5.29
158.375,9.125,-72.3125,5.32
158.3125,9.1875,-72.25,5.33
158.25,9.1875,-72.25,5.36
158.25,9.1875,-72.25,5.37
158.1875,9.25,-72.1875,5.40
158.125,9.25,-72.125,5.41
158.0625,9.25,-72.125,5.44
158.0,9.3125,-72.0625,5.45
158.0,9.3125,-72.0,5.48
158.0,9.3125,-72.0,5.49
157.9375,9.3125,-72.0,5.52
157.9375,9.3125,-72.0,5.53
