Participant Number:,3
Test started on:,04/04/2016 02:29:03 PM
Current Task:,VR Task 2
Task Start:,01:30:21 PM
Heading, Roll, Pitch, Task Time
159.9375,-41.0,13.8125,0.03
159.9375,-41.0,13.8125,0.04
160.4375,-40.3125,14.25,0.07
160.4375,-40.3125,14.25,0.08
160.6875,-40.0,14.375,0.11
160.6875,-40.0,14.375,0.12
160.9375,-39.6875,14.375,0.15
161.25,-39.375,14.4375,0.16
161.5625,-39.0,14.4375,0.19
161.8125,-38.6875,14.375,0.20
162.0,-38.375,14.3125,0.23
162.0,-38.375,14.3125,0.24
162.1875,-38.0625,14.1875,0.27
162.1875,-38.0625,14.1875,0.28
162.25,-37.8125,14.0,0.31
162.25,-37.8125,14.0,0.32
162.1875,-37.5625,13.8125,0.35
162.1875,-37.5625,13.8125,0.36
162.1875,-37.4375,13.75,0.39
162.125,-37.375,13.6875,0.40
162.125,-37.375,13.6875,0.43
162.0625,-37.3125,13.625,0.44
161.9375,-37.3125,13.625,0.47
161.9375,-37.3125,13.625,0.48
161.8125,-37.3125,13.6875,0.51
161.6875,-37.375,13.75,0.52
161.5,-37.4375,13.8125,0.55
161.5,-37.4375,13.8125,0.56
161.3125,-37.5,13.9375,0.59
161.3125,-37.5,13.9375,0.60
161.0,-37.6875,14.0625,0.63
161.0,-37.6875,14.0625,0.64
160.8125,-37.75,14.125,0.67
160.8125,-37.75,14.125,0.68
160.6875,-37.875,14.25,0.71
160.5625,-38.0,14.3125,0.72
160.5625,-38.0,14.3125,0.75
160.4375,-38.125,14.375,0.76
160.3125,-38.1875,14.5,0.79
160.1875,-38.0625,14.625,0.80
160.125,-37.875,14.75,0.83
160.125,-37.875,14.75,0.84
160.0625,-37.6875,14.9375,0.87
159.875,-37.8125,15.0625,0.88
159.75,-37.9375,15.1875,0.91
159.625,-38.0,15.25,0.92
159.625,-38.0,15.25,0.95
159.5,-38.0625,15.3125,0.96
159.3125,-38.125,15.375,0.99
159.3125,-38.125,15.375,1.00
159.1875,-38.125,15.4375,1.03
159.0,-38.125,15.5,1.04
158.875,-38.125,15.5,1.07
158.875,-38.125,15.5,1.08
158.6875,-38.0625,15.5,1.11
158.5625,-38.0625,15.5,1.12
158.375,-38.0,15.4375,1.15
158.375,-38.0,15.4375,1.16
158.25,-38.0,15.4375,1.19
158.0625,-38.0,15.3125,1.20
157.9375,-38.0,15.25,1.23
157.9375,-38.0,15.25,1.24
157.75,-38.0,15.1875,1.27
157.625,-37.9375,15.0625,1.28
157.4375,-38.0,15.0,1.31
157.4375,-38.0,15.0,1.32
157.3125,-38.0,14.875,1.35
157.125,-38.0625,14.75,1.36
157.0,-38.0625,14.6875,1.39
157.0,-38.0625,14.6875,1.40
156.8125,-38.0625,14.5625,1.43
156.5625,-38.0625,14.4375,1.44
156.3125,-38.0625,14.25,1.47
156.3125,-38.0625,14.25,1.48
155.9375,-38.0625,14.0625,1.51
155.9375,-38.0625,14.0625,1.52
155.625,-38.125,13.875,1.53
155.625,-38.125,13.875,1.56
154.8125,-38.125,13.5,1.59
154.8125,-38.125,13.5,1.60
154.4375,-38.125,13.3125,1.63
154.4375,-38.125,13.3125,1.64
154.0625,-38.125,13.125,1.67
153.6875,-38.1875,12.875,1.68
153.6875,-38.1875,12.875,1.71
153.3125,-38.1875,12.6875,1.72
153.0,-38.25,12.4375,1.75
152.75,-38.25,12.1875,1.76
152.4375,-38.3125,11.9375,1.79
152.4375,-38.3125,11.9375,1.80
152.1875,-38.375,11.75,1.83
152.1875,-38.375,11.75,1.84
152.0,-38.375,11.5625,1.87
151.8125,-38.375,11.375,1.88
151.6875,-38.375,11.25,1.91
151.6875,-38.375,11.25,1.92
151.625,-38.4375,11.125,1.95
151.625,-38.4375,11.125,1.96
151.625,-38.4375,11.0625,1.99
151.625,-38.5,11.0625,2.00
151.6875,-38.5,11.0,2.03
151.75,-38.5625,11.0625,2.04
151.75,-38.5625,11.0625,2.07
151.875,-38.5,11.125,2.08
152.0,-38.5,11.1875,2.11
152.0,-38.5,11.1875,2.12
152.1875,-38.4375,11.3125,2.15
152.375,-38.375,11.4375,2.16
