Participant Number:,17
Test started on:,04/07/2016 11:52:07 AM
Current Task:,NVR Task 2
Task Start:,10:53:44 AM
Heading, Roll, Pitch, Task Time
188.25,-4.875,-39.0625,0.07
188.1875,-5.0625,-39.75,0.09
188.1875,-5.0625,-39.75,0.11
188.1875,-5.0625,-39.75,0.11
188.1875,-5.0625,-39.75,0.15
188.1875,-5.0625,-39.75,0.15
188.0625,-5.1875,-40.4375,0.18
188.0,-5.3125,-41.125,0.21
188.0,-5.3125,-41.125,0.21
188.0,-5.3125,-41.125,0.24
188.0,-5.3125,-41.125,0.24
187.9375,-5.375,-41.75,0.28
187.9375,-5.375,-41.75,0.31
187.9375,-5.375,-41.75,0.31
187.875,-5.5,-42.375,0.34
187.875,-5.5,-42.375,0.34
187.875,-5.5,-42.375,0.38
187.875,-5.5,-42.375,0.41
187.875,-5.5,-42.375,0.41
187.8125,-5.5625,-43.0,0.44
187.8125,-5.5625,-43.0,0.44
187.8125,-5.5625,-43.0,0.48
187.75,-5.625,-43.5625,0.51
187.75,-5.625,-43.5625,0.51
187.6875,-5.6875,-44.125,0.55
187.6875,-5.6875,-44.125,0.55
187.6875,-5.6875,-44.125,0.58
187.6875,-5.75,-44.6875,0.61
187.6875,-5.75,-44.6875,0.61
187.6875,-5.75,-44.6875,0.64
187.6875,-5.75,-44.6875,0.64
187.6875,-5.75,-44.6875,0.68
187.625,-5.75,-45.25,0.71
187.625,-5.75,-45.25,0.71
187.625,-5.75,-45.25,0.74
187.625,-5.75,-45.25,0.74
187.625,-5.8125,-45.75,0.78
187.625,-5.8125,-45.75,0.81
187.625,-5.8125,-45.75,0.81
187.625,-5.8125,-45.75,0.85
187.625,-5.8125,-45.75,0.85
187.5625,-5.8125,-46.1875,0.88
187.5,-5.8125,-46.625,0.91
187.5,-5.8125,-46.625,0.91
187.5,-5.8125,-46.625,0.94
187.5,-5.8125,-46.625,0.94
187.5,-5.8125,-46.625,0.98
187.4375,-5.75,-47.0625,1.01
187.4375,-5.75,-47.0625,1.01
187.4375,-5.75,-47.0625,1.04
187.4375,-5.75,-47.0625,1.04
187.375,-5.75,-47.375,1.08
187.375,-5.75,-47.375,1.11
187.375,-5.75,-47.375,1.11
187.375,-5.75,-47.375,1.14
187.375,-5.75,-47.375,1.14
187.3125,-5.6875,-47.625,1.18
187.3125,-5.6875,-47.625,1.21
187.3125,-5.6875,-47.625,1.21
187.25,-5.625,-47.875,1.25
187.25,-5.625,-47.875,1.25
187.25,-5.625,-47.875,1.28
187.125,-5.5625,-48.0,1.31
187.125,-5.5625,-48.0,1.31
187.125,-5.5625,-48.0,1.35
187.125,-5.5625,-48.0,1.35
187.0625,-5.5,-48.125,1.38
187.0625,-5.5,-48.125,1.41
187.0625,-5.5,-48.125,1.41
187.0,-5.4375,-48.125,1.44
187.0,-5.4375,-48.125,1.44
187.0,-5.4375,-48.125,1.48
187.0,-5.4375,-48.125,1.51
187.0,-5.4375,-48.125,1.51
186.9375,-5.375,-48.125,1.54
186.9375,-5.375,-48.125,1.54
186.9375,-5.375,-48.125,1.58
186.875,-5.25,-48.0625,1.61
186.875,-5.25,-48.0625,1.61
186.875,-5.25,-48.0625,1.64
186.875,-5.25,-48.0625,1.64
186.8125,-5.1875,-47.9375,1.68
186.8125,-5.1875,-47.9375,1.71
186.8125,-5.1875,-47.9375,1.71
186.6875,-5.125,-47.8125,1.74
186.6875,-5.125,-47.8125,1.74
186.6875,-5.125,-47.8125,1.78
186.6875,-5.125,-47.8125,1.81
186.6875,-5.125,-47.8125,1.81
186.625,-5.0625,-47.6875,1.84
186.625,-5.0625,-47.6875,1.84
186.625,-5.0625,-47.6875,1.88
186.5625,-4.9375,-47.5625,1.91
186.5625,-4.9375,-47.5625,1.91
186.5625,-4.9375,-47.5625,1.95
186.5625,-4.9375,-47.5625,1.95
186.5625,-4.9375,-47.5625,1.98
186.5,-4.875,-47.4375,2.01
186.5,-4.875,-47.4375,2.01
186.4375,-4.8125,-47.3125,2.04
186.4375,-4.8125,-47.3125,2.04
186.4375,-4.8125,-47.3125,2.08
186.375,-4.75,-47.25,2.11
186.375,-4.75,-47.25,2.11
186.375,-4.75,-47.25,2.14
186.375,-4.75,-47.25,2.14
186.3125,-4.6875,-47.125,2.18
186.3125,-4.6875,-47.125,2.21
186.3125,-4.6875,-47.125,2.21
186.3125,-4.6875,-47.125,2.25
186.3125,-4.6875,-47.125,2.25
186.3125,-4.6875,-47.0625,2.28
186.3125,-4.6875,-47.0625,2.31
186.3125,-4.6875,-47.0625,2.31
186.25,-4.625,-47.0,2.34
186.25,-4.625,-47.0,2.34
186.25,-4.625,-47.0,2.38
186.25,-4.5625,-47.0,2.41
186.25,-4.5625,-47.0,2.41
186.25,-4.5625,-47.0,2.45
186.25,-4.5625,-47.0,2.45
186.25,-4.5,-47.0625,2.48
186.25,-4.5,-47.0625,2.51
186.25,-4.5,-47.0625,2.51
186.1875,-4.5,-47.25,2.54
186.1875,-4.5,-47.25,2.54
186.1875,-4.5,-47.25,2.58
186.1875,-4.5,-47.25,2.61
186.1875,-4.5,-47.25,2.61
186.1875,-4.5,-47.4375,2.65
186.1875,-4.5,-47.4375,2.65
186.1875,-4.5,-47.4375,2.68
186.125,-4.5,-47.75,2.71
186.125,-4.5,-47.75,2.71
186.125,-4.5,-47.75,2.74
186.125,-4.5,-47.75,2.74
186.125,-4.5625,-48.0625,2.78
186.125,-4.5625,-48.0625,2.81
