Participant Number:,13
Test started on:,04/06/2016 02:18:05 PM
Current Task:,VR Task 3
Task Start:,01:19:12 PM
Heading, Roll, Pitch, Task Time
198.5625,5.625,-42.1875,0.01
198.5625,5.625,-42.1875,0.03
198.625,5.5625,-42.0625,0.05
198.625,5.5625,-42.0625,0.07
198.75,5.4375,-41.875,0.09
198.75,5.4375,-41.875,0.11
199.0,5.25,-41.625,0.13
199.0,5.25,-41.625,0.15
199.125,5.3125,-41.5625,0.17
199.1875,5.4375,-41.5625,0.19
199.1875,5.5,-41.5,0.21
199.1875,5.5,-41.5,0.23
199.0625,5.6875,-41.4375,0.25
198.9375,5.75,-41.3125,0.27
198.75,5.8125,-41.1875,0.29
198.75,5.8125,-41.1875,0.31
198.125,5.5,-41.0,0.33
198.125,5.5,-41.0,0.35
197.875,5.125,-41.0625,0.37
197.875,5.125,-41.0625,0.39
198.0,4.5,-41.375,0.41
198.0,4.5,-41.375,0.43
197.9375,4.125,-41.625,0.45
197.9375,4.125,-41.625,0.47
197.875,4.0,-41.875,0.49
197.8125,3.875,-42.0625,0.51
197.8125,3.875,-42.0625,0.53
197.75,3.8125,-42.1875,0.55
197.75,3.75,-42.25,0.57
197.8125,3.6875,-42.1875,0.59
197.8125,3.6875,-42.1875,0.61
197.875,3.625,-42.125,0.63
197.9375,3.5625,-42.0625,0.65
197.9375,3.5625,-42.0625,0.67
198.0625,3.5,-42.0,0.69
198.1875,3.4375,-41.9375,0.71
198.3125,3.5,-41.9375,0.73
198.3125,3.5,-41.9375,0.75
198.4375,3.5625,-41.9375,0.77
198.4375,3.5625,-41.9375,0.79
198.5625,3.6875,-41.8125,0.81
198.6875,3.875,-41.625,0.83
198.8125,4.0625,-41.4375,0.85
198.8125,4.0625,-41.4375,0.87
198.8125,4.3125,-41.3125,0.89
198.8125,4.625,-41.3125,0.91
198.6875,4.9375,-41.5,0.93
198.6875,4.9375,-41.5,0.95
198.3125,5.4375,-41.8125,0.97
197.9375,5.875,-42.25,0.99
197.5625,6.125,-42.625,1.01
197.5625,6.125,-42.625,1.03
197.1875,6.375,-43.0,1.05
197.1875,6.375,-43.0,1.07
196.8125,6.5625,-43.3125,1.09
196.8125,6.5625,-43.3125,1.11
196.375,6.6875,-43.9375,1.13
196.375,6.6875,-43.9375,1.15
196.125,6.875,-44.4375,1.17
195.8125,7.0625,-45.0,1.19
195.8125,7.0625,-45.0,1.21
195.5,7.3125,-45.5625,1.23
195.1875,7.5,-46.125,1.25
195.1875,7.5,-46.125,1.27
195.0,7.75,-46.625,1.29
194.75,8.0,-47.125,1.31
194.75,8.0,-47.125,1.33
194.625,8.3125,-47.5625,1.35
194.4375,8.5625,-48.0,1.37
