Participant Number:,4
Test started on:,04/04/2016 02:52:28 PM
Current Task:,NVR Task 1
Task Start:,01:53:49 PM
Heading, Roll, Pitch, Task Time
152.0,8.25,-55.0625,0.07
152.0,8.25,-55.0625,0.09
151.8125,8.375,-55.4375,0.11
151.8125,8.375,-55.4375,0.11
151.8125,8.375,-55.4375,0.15
151.8125,8.375,-55.4375,0.18
151.8125,8.375,-55.4375,0.18
151.625,8.5,-55.75,0.21
151.625,8.5,-55.75,0.21
151.5,8.625,-56.0625,0.25
151.5,8.625,-56.0625,0.28
151.5,8.625,-56.0625,0.28
151.3125,8.6875,-56.3125,0.31
151.3125,8.6875,-56.3125,0.31
151.3125,8.6875,-56.3125,0.35
151.125,8.75,-56.5625,0.38
151.125,8.75,-56.5625,0.38
151.125,8.75,-56.5625,0.41
151.0,8.875,-56.875,0.43
151.0,8.875,-56.875,0.46
151.0,8.875,-56.875,0.46
150.75,8.9375,-57.125,0.50
150.75,8.9375,-57.125,0.51
150.75,8.9375,-57.125,0.51
150.5625,9.0625,-57.4375,0.54
150.5625,9.0625,-57.4375,0.56
150.3125,9.1875,-57.6875,0.59
150.3125,9.1875,-57.6875,0.61
150.3125,9.1875,-57.6875,0.61
150.0625,9.3125,-58.0,0.64
150.0625,9.3125,-58.0,0.68
149.875,9.4375,-58.25,0.69
149.875,9.4375,-58.25,0.69
149.875,9.4375,-58.25,0.73
149.875,9.4375,-58.25,0.73
149.5625,9.5,-58.75,0.78
149.5625,9.5,-58.75,0.78
149.5625,9.5,-58.75,0.81
149.4375,9.5625,-59.0,0.83
149.4375,9.5625,-59.0,0.83
149.4375,9.5625,-59.0,0.86
149.4375,9.5625,-59.0,0.89
149.375,9.5625,-59.1875,0.91
149.375,9.5625,-59.1875,0.91
149.375,9.5625,-59.1875,0.95
149.3125,9.5625,-59.375,0.98
149.3125,9.5625,-59.375,0.99
149.3125,9.625,-59.5,1.01
149.3125,9.625,-59.6875,1.03
149.3125,9.6875,-59.8125,1.06
149.3125,9.6875,-59.8125,1.08
149.3125,9.75,-59.9375,1.09
149.3125,9.75,-59.9375,1.11
149.375,9.75,-60.0,1.14
149.375,9.75,-60.0,1.15
149.4375,9.75,-60.125,1.18
149.5625,9.75,-60.25,1.20
149.5625,9.75,-60.25,1.21
149.75,9.75,-60.3125,1.23
149.75,9.75,-60.3125,1.25
149.9375,9.75,-60.4375,1.28
149.9375,9.75,-60.4375,1.30
150.0625,9.8125,-60.5,1.31
150.0625,9.8125,-60.5,1.33
150.0625,9.8125,-60.5,1.35
150.4375,9.8125,-60.5,1.38
150.4375,9.8125,-60.5,1.40
150.5625,9.875,-60.5,1.41
150.5625,9.875,-60.5,1.43
150.5625,9.875,-60.5,1.45
150.75,9.9375,-60.5,1.48
150.875,9.9375,-60.4375,1.50
150.875,9.9375,-60.4375,1.51
150.875,9.9375,-60.4375,1.53
151.0625,9.9375,-60.375,1.55
151.1875,9.9375,-60.3125,1.58
151.375,9.9375,-60.25,1.60
151.375,9.9375,-60.25,1.61
151.375,9.9375,-60.25,1.63
151.5,9.9375,-60.1875,1.65
151.625,9.9375,-60.125,1.68
151.625,9.9375,-60.125,1.70
151.625,10.0625,-60.25,1.71
151.6875,10.1875,-60.375,1.73
151.6875,10.1875,-60.375,1.75
151.8125,10.1875,-60.25,1.78
151.875,10.1875,-60.125,1.80
151.875,10.1875,-60.125,1.81
151.875,10.1875,-60.125,1.83
152.0,10.125,-60.0,1.85
152.0625,10.1875,-60.0625,1.88
152.125,10.25,-60.125,1.90
152.1875,10.25,-60.125,1.91
152.1875,10.25,-60.125,1.93
152.3125,10.25,-60.1875,1.95
152.4375,10.25,-60.1875,1.98
152.4375,10.25,-60.1875,2.00
152.5625,10.25,-60.1875,2.01
152.6875,10.1875,-60.0,2.03
152.6875,10.1875,-60.0,2.05
152.875,10.125,-59.8125,2.08
152.875,10.125,-59.8125,2.10
153.0,10.0,-59.625,2.11
153.0,10.0,-59.625,2.13
153.1875,9.9375,-59.4375,2.15
153.1875,9.9375,-59.4375,2.18
153.375,9.875,-59.25,2.20
153.5625,9.8125,-59.0625,2.21
153.5625,9.8125,-59.0625,2.23
153.75,9.75,-58.875,2.25
153.75,9.75,-58.875,2.28
153.9375,9.6875,-58.75,2.30
153.9375,9.6875,-58.75,2.31
154.125,9.5625,-58.5625,2.33
154.125,9.5625,-58.5625,2.35
154.3125,9.5,-58.375,2.38
154.5,9.4375,-58.25,2.40
154.5,9.4375,-58.25,2.41
154.625,9.375,-58.0625,2.43
154.625,9.375,-58.0625,2.45
154.8125,9.25,-57.875,2.48
154.8125,9.25,-57.875,2.50
154.9375,9.1875,-57.6875,2.51
154.9375,9.1875,-57.6875,2.53
155.0625,9.125,-57.5625,2.55
155.1875,9.0625,-57.4375,2.58
155.375,9.0625,-57.25,2.60
155.375,9.0625,-57.25,2.61
155.375,9.0625,-57.25,2.63
155.5,9.0,-57.125,2.65
155.625,8.9375,-57.0,2.68
155.625,8.9375,-57.0,2.70
155.8125,8.875,-56.8125,2.71
155.9375,8.8125,-56.6875,2.73
155.9375,8.8125,-56.6875,2.75
156.125,8.75,-56.5,2.78
156.3125,8.6875,-56.3125,2.80
156.3125,8.6875,-56.3125,2.81
156.5,8.625,-56.1875,2.83
156.5,8.625,-56.1875,2.85
156.625,8.625,-56.0,2.88
156.8125,8.625,-55.8125,2.90
156.8125,8.625,-55.8125,2.91
156.9375,8.625,-55.625,2.93
156.9375,8.625,-55.625,2.95
157.0625,8.625,-55.4375,2.98
157.0625,8.625,-55.4375,3.00
157.1875,8.625,-55.25,3.01
157.1875,8.625,-55.25,3.03
157.3125,8.625,-55.0625,3.05
157.375,8.625,-54.875,3.08
157.5,8.6875,-54.6875,3.10
157.5,8.6875,-54.6875,3.11
157.5625,8.6875,-54.5,3.13
157.5625,8.6875,-54.5,3.15
157.625,8.6875,-54.3125,3.18
157.625,8.6875,-54.3125,3.20
157.625,8.75,-54.125,3.21
157.625,8.75,-54.125,3.23
157.6875,8.75,-53.875,3.25
157.6875,8.75,-53.6875,3.28
157.6875,8.75,-53.6875,3.30
157.6875,8.8125,-53.5,3.31
157.6875,8.8125,-53.5,3.33
157.75,8.875,-53.25,3.35
157.75,8.875,-53.0625,3.38
157.75,8.9375,-52.8125,3.40
157.75,8.9375,-52.8125,3.41
157.6875,8.9375,-52.5625,3.43
157.6875,8.9375,-52.5625,3.45
157.6875,9.0,-52.375,3.48
157.6875,9.0,-52.375,3.50
157.6875,9.0,-52.125,3.51
157.6875,9.0,-52.125,3.53
157.6875,9.0,-52.125,3.55
157.625,9.0625,-51.75,3.58
157.625,9.0625,-51.75,3.60
157.625,9.125,-51.5625,3.61
157.625,9.125,-51.5625,3.63
157.625,9.125,-51.4375,3.65
157.625,9.125,-51.4375,3.68
157.625,9.125,-51.25,3.70
