Participant Number:,11
Test started on:,04/05/2016 02:58:22 PM
Current Task:,VR Task 1
Task Start:,01:59:52 PM
Heading, Roll, Pitch, Task Time
139.125,17.625,-30.875,0.01
139.125,17.625,-30.875,0.03
138.9375,17.625,-30.8125,0.05
138.9375,17.625,-30.8125,0.07
138.625,17.3125,-30.0625,0.09
138.625,17.3125,-30.0625,0.11
138.5,17.375,-30.0,0.13
138.5,17.375,-30.0,0.15
138.375,17.375,-30.0,0.17
138.25,17.4375,-29.9375,0.19
138.25,17.4375,-29.9375,0.21
138.1875,17.4375,-29.9375,0.23
138.125,17.0,-29.25,0.25
138.0625,16.5625,-28.625,0.27
138.0625,16.1875,-28.0625,0.29
138.0625,16.1875,-28.0625,0.31
138.0625,15.75,-27.4375,0.33
138.0625,15.375,-26.875,0.35
138.125,15.0,-26.3125,0.37
138.125,14.5625,-25.75,0.39
138.125,14.5625,-25.75,0.41
138.1875,14.1875,-25.25,0.43
138.1875,13.8125,-24.6875,0.45
138.1875,13.8125,-24.6875,0.47
138.3125,13.125,-23.6875,0.49
138.3125,13.125,-23.6875,0.51
138.375,12.75,-23.1875,0.53
138.4375,12.4375,-22.6875,0.55
138.5,12.125,-22.25,0.57
138.5,12.125,-22.25,0.59
138.5625,11.625,-21.375,0.61
138.5625,11.625,-21.375,0.63
138.625,11.5625,-21.375,0.65
138.625,11.5625,-21.375,0.67
138.625,11.5625,-21.375,0.69
138.6875,11.5625,-21.4375,0.71
138.75,11.3125,-21.0,0.73
138.8125,11.0625,-20.625,0.75
138.875,10.8125,-20.25,0.77
138.875,10.8125,-20.25,0.79
138.9375,10.5625,-19.875,0.81
139.0,10.25,-19.5,0.83
139.0625,10.0,-19.125,0.85
139.125,10.0625,-19.125,0.87
139.125,10.0625,-19.125,0.89
139.125,10.0625,-19.125,0.91
139.1875,10.0625,-19.1875,0.93
139.1875,10.0625,-19.1875,0.95
139.25,9.875,-18.8125,0.97
139.3125,9.6875,-18.5,0.99
139.375,9.6875,-18.5625,1.01
139.375,9.6875,-18.5625,1.03
139.375,9.6875,-18.5625,1.05
139.4375,9.6875,-18.5625,1.07
139.4375,9.6875,-18.5625,1.09
139.4375,9.6875,-18.5625,1.11
